ALK
ATRX
BCOR
BRAF
CDKN2A
CDKN2B
CTNNB1
DDX3X
DICER1
EGFR
EZH2
FGFR1
FGFR4
H3F3A
H3F3B
HIST1H3B
HIST1H3C
HIST2H3C
IDH1
IDH2
KIT
MET
MSH6
MYCN
NF1
NRAS
PHOX2B
PIK3C2G
PIK3CA
PIK3R1
PMS2
PTCH1
PTCH2
PTEN
RAF1
RB1
SMARCA4
SMARCB1
SMO
SUFU
TERT
TP53
TSC1
TSC2
VHL
YAP1
